date,home_team,away_team,home_goals_scored_avg,home_goals_conceded_avg,home_win_rate,home_draw_rate,home_form_points,home_games_played,home_rank,away_goals_scored_avg,away_goals_conceded_avg,away_win_rate,away_draw_rate,away_form_points,away_games_played,away_rank,rank_diff,goal_avg_diff,form_diff,home_goals,away_goals,outcome
2014-05-28,South Korea,Tunisia,0.0,3.0,0.0,0.0,0.0,2,100,1.0,1.0,0.0,1.0,1.0,1,49,-51,-1.0,-1.0,0,1,0
2014-05-30,New Zealand,South Africa,2.0,4.0,0.0,0.0,0.0,1,111,0.5,3.0,0.0,0.5,0.5,2,65,-46,1.5,-0.5,0,0,1
2014-05-31,Netherlands,Ghana,0.5,1.5,0.0,0.5,0.5,2,15,1.2,1.2,0.33,0.33,1.0,0,38,23,-0.7,-0.5,1,0,2
2014-05-31,Colombia,Senegal,1.0,1.0,0.0,1.0,1.0,1,5,1.2,1.2,0.33,0.33,1.0,0,63,58,-0.19999999999999996,0.0,2,2,1
2014-05-31,Mexico,Ecuador,4.0,0.0,1.0,0.0,3.0,1,19,2.5,2.0,0.5,0.5,2.0,2,28,9,1.5,1.0,3,1,2
2014-06-01,Sweden,Belgium,1.2,1.2,0.33,0.33,1.0,0,25,1.2,1.2,0.33,0.33,1.0,0,12,-13,0.0,0.0,0,2,0
2014-06-01,France,Paraguay,3.0,0.0,1.0,0.0,3.0,2,16,1.2,1.2,0.33,0.33,1.0,0,55,39,1.8,2.0,1,1,1
2014-06-03,Brazil,Panama,5.0,0.0,1.0,0.0,3.0,1,4,1.2,1.2,0.33,0.33,1.0,0,35,31,3.8,2.0,4,0,2
2014-06-03,Mexico,Bosnia and Herzegovina,3.5,0.5,1.0,0.0,3.0,2,19,0.0,2.0,0.0,0.0,0.0,1,25,6,3.5,3.0,0,1,0
2014-06-04,Ecuador,England,2.0,2.333,0.333,0.333,1.333,3,28,1.2,1.2,0.33,0.33,1.0,0,11,-17,0.8,0.33299999999999996,2,2,1
2014-06-06,Colombia,Jordan,1.5,1.5,0.0,1.0,1.0,2,8,0.0,2.0,0.0,0.0,0.0,1,63,55,1.5,1.0,3,0,2
2014-06-06,Croatia,Australia,2.0,2.0,0.0,1.0,1.0,1,18,2.0,2.5,0.0,0.5,0.5,2,62,44,0.0,0.5,1,0,2
2014-06-06,Mexico,Portugal,2.333,0.667,0.667,0.0,2.0,3,20,1.2,1.2,0.33,0.33,1.0,0,4,-16,1.1330000000000002,1.0,0,1,0
2014-06-07,Belgium,Tunisia,2.0,0.0,1.0,0.0,3.0,1,11,1.0,0.5,0.5,0.5,2.0,2,48,37,1.0,1.0,1,0,2
2014-06-09,Ghana,South Korea,0.0,1.0,0.0,0.0,0.0,1,37,0.0,2.333,0.0,0.0,0.0,3,100,63,0.0,0.0,4,0,2
2014-06-12,Brazil,Croatia,4.5,0.0,1.0,0.0,3.0,2,3,1.5,1.0,0.5,0.5,2.0,2,18,15,3.0,1.0,3,1,2
2014-06-13,Spain,Netherlands,1.2,1.2,0.33,0.33,1.0,0,1,0.667,1.0,0.333,0.333,1.333,3,15,14,0.5329999999999999,-0.33299999999999996,1,5,0
2014-06-15,Argentina,Bosnia and Herzegovina,1.2,1.2,0.33,0.33,1.0,0,5,0.5,1.0,0.5,0.0,1.5,2,21,16,0.7,-0.5,2,1,2
2014-06-15,Switzerland,Ecuador,2.0,2.0,0.0,1.0,1.0,1,6,2.0,2.25,0.25,0.5,1.25,4,26,20,0.0,-0.25,2,1,2
2014-06-16,Germany,Portugal,1.2,1.2,0.33,0.33,1.0,0,2,1.0,0.0,1.0,0.0,3.0,1,4,2,0.19999999999999996,-2.0,4,0,2
2014-06-16,Ghana,United States,2.0,0.5,0.5,0.0,1.5,2,37,2.0,0.0,1.0,0.0,3.0,1,100,63,0.0,-1.5,1,2,0
2014-06-17,Belgium,Algeria,1.5,0.0,1.0,0.0,3.0,2,11,1.2,1.2,0.33,0.33,1.0,0,22,11,0.30000000000000004,2.0,2,1,2
2014-06-17,Brazil,Mexico,4.0,0.333,1.0,0.0,3.0,3,3,1.75,0.75,0.5,0.0,1.5,4,20,17,2.25,1.5,0,0,1
2014-06-18,Australia,Netherlands,1.333,2.0,0.0,0.333,0.333,3,62,1.75,1.0,0.5,0.25,1.75,4,15,-47,-0.41700000000000004,-1.417,2,3,0
2014-06-19,Uruguay,England,1.0,1.0,0.0,1.0,1.0,1,7,2.0,2.0,0.0,1.0,1.0,1,10,3,-1.0,0.0,2,1,2
2014-06-20,Switzerland,France,2.0,1.5,0.5,0.5,2.0,2,6,2.333,0.333,0.667,0.333,2.333,3,17,11,-0.3330000000000002,-0.3330000000000002,2,5,0
2014-06-21,Argentina,Iran,2.0,1.0,1.0,0.0,3.0,1,5,1.2,1.2,0.33,0.33,1.0,0,100,95,0.8,2.0,1,0,2
2014-06-21,Germany,Ghana,4.0,0.0,1.0,0.0,3.0,1,2,1.667,1.0,0.333,0.0,1.0,3,37,35,2.333,2.0,2,2,1
2014-06-22,South Korea,Algeria,0.0,2.75,0.0,0.0,0.0,4,100,1.0,2.0,0.0,0.0,0.0,1,22,-78,-1.0,0.0,2,4,0
2014-06-22,United States,Portugal,2.0,0.5,1.0,0.0,3.0,2,100,0.5,2.0,0.5,0.0,1.5,2,4,-96,1.5,1.5,2,2,1
2014-06-23,Australia,Spain,1.5,2.25,0.0,0.25,0.25,4,62,1.0,5.0,0.0,0.0,0.0,1,1,-61,0.5,0.25,0,3,0
2014-06-23,Croatia,Mexico,1.333,1.667,0.333,0.333,1.333,3,18,1.4,0.6,0.4,0.2,1.4,5,20,2,-0.06699999999999995,-0.06699999999999995,1,3,0
2014-06-24,Japan,Colombia,4.0,2.0,1.0,0.0,3.0,1,46,2.0,1.0,0.333,0.667,1.667,3,8,-38,2.0,1.333,1,4,0
2014-06-25,Bosnia and Herzegovina,Iran,0.667,1.333,0.333,0.0,1.0,3,21,0.0,1.0,0.0,0.0,0.0,1,100,79,0.667,1.0,3,1,2
2014-06-25,Ecuador,France,1.8,2.2,0.2,0.4,1.0,5,26,3.0,0.75,0.75,0.25,2.5,4,17,-9,-1.2,-1.5,0,0,1
2014-06-26,United States,Germany,2.0,1.0,0.667,0.333,2.333,3,100,3.0,1.0,0.5,0.5,2.0,2,2,-98,-1.0,0.3330000000000002,0,1,0
2014-06-26,South Korea,Belgium,0.4,3.0,0.0,0.0,0.0,5,100,1.667,0.333,1.0,0.0,3.0,3,11,-89,-1.267,-3.0,0,1,0
2014-06-26,Portugal,Ghana,1.0,2.0,0.333,0.333,1.333,3,4,1.75,1.25,0.25,0.25,1.0,4,37,33,-0.75,0.33299999999999996,2,1,2
2014-06-28,Colombia,Uruguay,2.5,1.0,0.5,0.5,2.0,4,8,1.5,1.0,0.5,0.5,2.0,2,7,-1,1.0,0.0,2,0,2
2014-06-29,Netherlands,Mexico,2.0,1.2,0.6,0.2,2.0,5,15,1.667,0.667,0.5,0.167,1.667,6,20,5,0.33299999999999996,0.33299999999999996,2,1,2
2014-06-30,Germany,Algeria,2.333,0.667,0.667,0.333,2.333,3,2,2.5,2.0,0.5,0.0,1.5,2,22,20,-0.16699999999999982,0.8330000000000002,2,1,2
2014-07-01,Argentina,Switzerland,1.5,0.5,1.0,0.0,3.0,2,5,2.0,2.667,0.333,0.333,1.333,3,6,1,-0.5,1.667,1,0,2
2014-07-01,Belgium,United States,1.5,0.25,1.0,0.0,3.0,4,11,1.5,1.0,0.5,0.25,1.75,4,100,89,0.0,1.25,2,1,2
2014-07-04,Brazil,Colombia,3.0,0.25,0.75,0.25,2.5,4,3,2.4,0.8,0.6,0.4,2.2,5,8,5,0.6000000000000001,0.2999999999999998,2,1,2
2014-07-04,France,Germany,2.4,0.6,0.6,0.4,2.2,5,17,2.25,0.75,0.75,0.25,2.5,4,2,-15,0.1499999999999999,-0.2999999999999998,0,1,0
2014-07-05,Argentina,Belgium,1.333,0.333,1.0,0.0,3.0,3,5,1.6,0.4,1.0,0.0,3.0,5,11,6,-0.2670000000000001,0.0,1,0,2
2014-07-08,Brazil,Germany,2.8,0.4,0.8,0.2,2.6,5,3,2.0,0.6,0.8,0.2,2.6,5,2,-1,0.7999999999999998,0.0,1,7,0
2014-07-09,Netherlands,Argentina,2.0,1.167,0.667,0.167,2.167,6,15,1.25,0.25,1.0,0.0,3.0,4,5,-10,0.75,-0.8330000000000002,0,0,1
2014-07-12,Brazil,Netherlands,2.5,1.5,0.667,0.167,2.167,6,3,1.714,1.0,0.571,0.286,2.0,7,15,12,0.786,0.16699999999999982,0,3,0
2014-07-13,Germany,Argentina,2.833,0.667,0.833,0.167,2.667,6,2,1.0,0.2,0.8,0.2,2.6,5,5,3,1.8330000000000002,0.06699999999999973,1,0,2
2014-09-03,England,Norway,1.5,2.0,0.0,0.5,0.5,2,20,0.0,4.0,0.0,0.0,0.0,1,53,33,1.5,0.5,1,0,2
2014-09-03,Germany,Argentina,2.571,0.571,0.857,0.143,2.714,7,1,0.833,0.333,0.667,0.167,2.167,6,2,1,1.7380000000000002,0.5470000000000002,2,4,0
2014-09-03,Morocco,Qatar,1.2,1.2,0.33,0.33,1.0,0,81,2.0,0.0,1.0,0.0,3.0,1,92,11,-0.8,-2.0,0,0,1
2014-09-04,France,Spain,2.0,0.667,0.5,0.333,1.833,6,10,2.0,2.5,0.5,0.0,1.5,2,7,-3,0.0,0.33299999999999996,1,0,2
2014-09-04,Uzbekistan,Jordan,1.2,1.2,0.33,0.33,1.0,0,51,0.0,2.5,0.0,0.0,0.0,2,56,5,1.2,1.0,2,0,2
2014-09-04,Belgium,Australia,1.333,0.5,0.833,0.0,2.5,6,5,1.2,2.4,0.0,0.2,0.2,5,79,74,0.133,2.3,2,0,2
2014-09-05,Japan,Uruguay,2.5,3.0,0.5,0.0,1.5,2,44,1.0,1.333,0.333,0.333,1.333,3,6,-38,1.5,0.16700000000000004,0,2,0
2014-09-05,Brazil,Colombia,2.143,1.714,0.571,0.143,1.857,7,7,2.167,1.0,0.5,0.333,1.833,6,4,-3,-0.02400000000000002,0.02400000000000002,1,0,2
2014-09-05,Senegal,Egypt,2.0,2.0,0.0,1.0,1.0,1,59,2.0,0.0,1.0,0.0,3.0,1,38,-21,0.0,-2.0,2,0,2
2014-09-07,Germany,Scotland,2.5,1.0,0.75,0.125,2.375,8,1,1.2,1.2,0.33,0.33,1.0,0,28,27,1.3,1.375,2,1,2
2014-09-08,Uzbekistan,New Zealand,2.0,0.0,1.0,0.0,3.0,1,51,1.0,2.0,0.0,0.5,0.5,2,98,47,1.0,2.5,3,1,2
2014-09-08,Australia,Saudi Arabia,1.0,2.333,0.0,0.167,0.167,6,79,1.2,1.2,0.33,0.33,1.0,0,83,4,-0.19999999999999996,-0.833,3,2,2
2014-09-08,Austria,Sweden,1.0,1.0,0.0,1.0,1.0,1,40,0.0,2.0,0.0,0.0,0.0,1,29,-11,1.0,1.0,1,1,1
2014-09-08,South Korea,Uruguay,0.333,2.667,0.0,0.0,0.0,6,100,1.25,1.0,0.5,0.25,1.75,4,6,-94,-0.917,-1.75,0,1,0
2014-09-08,Switzerland,England,1.5,2.25,0.25,0.25,1.0,4,9,1.333,1.333,0.333,0.333,1.333,3,20,11,0.16700000000000004,-0.33299999999999996,0,2,0
2014-09-10,Egypt,Tunisia,1.0,1.0,0.5,0.0,1.5,2,38,0.667,0.667,0.333,0.333,1.333,3,42,4,0.33299999999999996,0.16700000000000004,0,1,0
2014-10-06,Qatar,Uzbekistan,1.0,0.0,0.5,0.5,2.0,2,96,2.5,0.5,1.0,0.0,3.0,2,58,-38,-1.5,-1.0,3,0,2
2014-10-10,South Korea,Paraguay,0.286,2.429,0.0,0.0,0.0,7,100,1.0,1.0,0.0,1.0,1.0,1,60,-40,-0.714,-1.0,2,0,2
2014-10-10,Saudi Arabia,Uruguay,2.0,3.0,0.0,0.0,0.0,1,82,1.2,0.8,0.6,0.2,2.0,5,7,-75,0.8,-2.0,1,1,1
2014-10-10,Senegal,Tunisia,2.0,1.0,0.5,0.5,2.0,2,36,0.75,0.5,0.5,0.25,1.75,4,31,-5,1.25,0.25,0,0,1
2014-10-11,Argentina,Brazil,1.286,0.571,0.714,0.143,2.286,7,2,2.0,1.5,0.625,0.125,2.0,8,6,4,-0.714,0.28600000000000003,0,2,0
2014-10-11,France,Portugal,1.857,0.571,0.571,0.286,2.0,7,9,1.25,1.75,0.5,0.25,1.75,4,11,2,0.607,0.25,2,1,2
2014-10-12,Mexico,Panama,1.571,0.857,0.429,0.143,1.429,7,16,0.0,4.0,0.0,0.0,0.0,1,55,39,1.571,1.429,1,0,2
2014-10-13,Bosnia and Herzegovina,Belgium,1.25,1.25,0.5,0.0,1.5,4,25,1.429,0.429,0.857,0.0,2.571,7,5,-20,-0.17900000000000005,-1.0710000000000002,1,1,1
2014-10-14,Japan,Brazil,1.667,2.667,0.333,0.0,1.0,3,48,2.0,1.333,0.667,0.111,2.111,9,6,-42,-0.33299999999999996,-1.1110000000000002,0,4,0
2014-10-14,Qatar,Australia,1.667,0.0,0.667,0.333,2.333,3,96,1.286,2.286,0.143,0.143,0.571,7,84,-12,0.381,1.7620000000000002,1,0,2
2014-10-15,Tunisia,Senegal,0.6,0.4,0.4,0.4,1.6,5,31,1.333,0.667,0.333,0.667,1.667,3,36,5,-0.733,-0.06699999999999995,1,0,2
2014-11-12,Argentina,Croatia,1.125,0.75,0.625,0.125,2.0,8,2,1.25,2.0,0.25,0.25,1.0,4,14,12,-0.125,1.0,2,1,2
2014-11-12,Netherlands,Mexico,1.875,0.875,0.625,0.25,2.125,8,5,1.5,0.75,0.5,0.125,1.625,8,17,12,0.375,0.5,2,3,0
2014-11-13,Saudi Arabia,Qatar,1.5,2.0,0.0,0.5,0.5,2,97,1.5,0.0,0.75,0.25,2.5,4,88,-9,0.0,-2.0,1,1,1
2014-11-14,Jordan,South Korea,0.0,2.333,0.0,0.0,0.0,3,74,0.5,2.125,0.125,0.0,0.375,8,100,26,-0.5,-0.375,0,1,0
2014-11-14,United States,Colombia,1.4,1.2,0.4,0.2,1.4,5,100,1.857,1.0,0.429,0.286,1.571,7,3,-97,-0.4570000000000001,-0.17100000000000004,1,2,0
2014-11-15,Egypt,Senegal,0.667,1.0,0.333,0.0,1.0,3,38,1.0,0.75,0.25,0.5,1.25,4,41,3,-0.33299999999999996,-0.25,0,1,0
2014-11-18,Spain,Germany,1.333,2.0,0.333,0.0,1.0,3,10,2.444,1.0,0.778,0.111,2.444,9,1,-9,-1.111,-1.444,0,1,0
2014-11-18,Scotland,England,1.0,2.0,0.0,0.0,0.0,1,37,1.5,1.0,0.5,0.25,1.75,4,20,-17,-0.5,-1.75,1,3,0
2014-11-18,Portugal,Argentina,1.2,1.8,0.4,0.2,1.4,5,9,1.222,0.778,0.667,0.111,2.111,9,2,-7,-0.02200000000000002,-0.7110000000000003,1,0,2
2014-11-18,Panama,Canada,0.0,2.5,0.0,0.0,0.0,2,56,1.2,1.2,0.33,0.33,1.0,0,122,66,-1.2,-1.0,0,0,1
2014-11-18,Japan,Australia,1.25,3.0,0.25,0.0,0.75,4,52,1.125,2.125,0.125,0.125,0.5,8,94,42,0.125,0.25,2,1,2
2014-11-18,Iran,South Korea,0.5,2.0,0.0,0.0,0.0,2,100,0.556,1.889,0.222,0.0,0.667,9,100,0,-0.05600000000000005,-0.667,1,0,2
2014-11-18,France,Sweden,1.875,0.625,0.625,0.25,2.125,8,7,0.5,1.5,0.0,0.5,0.5,2,39,32,1.375,1.625,1,0,2
2014-11-18,Austria,Brazil,1.0,1.0,0.0,1.0,1.0,2,29,2.2,1.2,0.7,0.1,2.2,10,6,-23,-1.2000000000000002,-1.2000000000000002,1,2,0
2014-11-19,Tunisia,Egypt,0.667,0.333,0.5,0.333,1.833,6,31,0.5,1.0,0.25,0.0,0.75,4,38,7,0.16700000000000004,1.083,2,1,2
2014-11-26,Saudi Arabia,Qatar,1.333,1.667,0.0,0.667,0.667,3,97,1.4,0.2,0.6,0.4,2.2,5,88,-9,-0.06699999999999995,-1.5330000000000001,1,2,0
2014-12-21,Uzbekistan,Jordan,1.667,1.333,0.667,0.0,2.0,3,74,0.0,2.0,0.0,0.0,0.0,4,81,7,1.667,2.0,2,1,2
2014-12-25,Uzbekistan,Iraq,1.75,1.25,0.75,0.0,2.25,4,74,1.2,1.2,0.33,0.33,1.0,0,103,29,0.55,1.25,1,0,2
2014-12-28,Uzbekistan,Iraq,1.6,1.0,0.8,0.0,2.4,5,74,0.0,1.0,0.0,0.0,0.0,1,103,29,1.6,2.4,0,0,1
2015-01-04,South Korea,Saudi Arabia,0.5,1.8,0.2,0.0,0.6,10,100,1.25,1.75,0.0,0.5,0.5,4,102,2,-0.75,0.09999999999999998,2,0,2
2015-01-04,Iran,Iraq,0.667,1.333,0.333,0.0,1.0,3,100,0.0,0.5,0.0,0.5,0.5,2,103,3,0.667,0.5,1,0,2
2015-01-11,Tunisia,Algeria,0.857,0.429,0.571,0.286,2.0,7,22,2.0,2.0,0.333,0.0,1.0,3,18,-4,-1.143,1.0,1,1,1
2015-01-12,Jordan,Iraq,0.2,2.0,0.0,0.0,0.0,5,93,0.0,0.667,0.0,0.333,0.333,3,114,21,0.2,-0.333,0,1,0
2015-01-15,Qatar,Iran,1.5,0.333,0.667,0.333,2.333,6,92,0.75,1.0,0.5,0.0,1.5,4,100,8,0.75,0.8330000000000002,0,1,0
2015-01-16,Iraq,Japan,0.25,0.5,0.25,0.25,1.0,4,114,1.4,2.6,0.4,0.0,1.2,5,54,-60,-1.15,-0.19999999999999996,0,1,0
2015-01-17,Australia,South Korea,1.111,2.111,0.111,0.111,0.444,9,100,0.7,1.4,0.3,0.0,0.9,10,100,0,0.41100000000000003,-0.456,0,1,0
2015-01-18,Uzbekistan,Saudi Arabia,1.333,0.833,0.667,0.167,2.167,6,71,1.0,1.8,0.0,0.4,0.4,5,102,31,0.33299999999999996,1.767,3,1,2
2015-01-19,Algeria,South Africa,1.75,1.75,0.25,0.25,1.0,4,18,0.333,2.0,0.0,0.667,0.667,3,52,34,1.417,0.33299999999999996,3,1,2
2015-01-19,Ghana,Senegal,1.6,1.4,0.2,0.2,0.8,5,37,1.0,0.6,0.4,0.4,1.6,5,35,-2,0.6000000000000001,-0.8,1,2,0
2015-01-20,Japan,Jordan,1.333,2.167,0.5,0.0,1.5,6,54,0.167,1.833,0.0,0.0,0.0,6,93,39,1.166,1.5,2,0,2
2015-01-22,South Korea,Uzbekistan,0.8,1.2,0.4,0.0,1.2,10,100,1.571,0.857,0.714,0.143,2.286,7,71,-29,-0.7709999999999999,-1.086,2,0,2
2015-01-23,Ghana,Algeria,1.5,1.5,0.167,0.167,0.667,6,37,2.0,1.6,0.4,0.2,1.4,5,18,-19,-0.5,-0.7329999999999999,1,0,2
2015-01-23,Iran,Iraq,0.8,0.8,0.6,0.0,1.8,5,100,0.2,0.6,0.2,0.2,0.8,5,114,14,0.6000000000000001,1.0,3,3,1
2015-01-23,South Africa,Senegal,0.5,2.25,0.0,0.5,0.5,4,52,1.167,0.667,0.5,0.333,1.833,6,35,-17,-0.667,-1.333,1,1,1
2015-01-26,South Korea,Iraq,1.0,1.1,0.5,0.0,1.5,10,100,0.667,1.0,0.167,0.333,0.833,6,114,14,0.33299999999999996,0.667,2,0,2
2015-01-27,Senegal,Algeria,1.143,0.714,0.429,0.429,1.714,7,35,1.667,1.5,0.333,0.167,1.167,6,18,-17,-0.524,0.5469999999999999,0,2,0
2015-01-27,South Africa,Ghana,0.6,2.0,0.0,0.6,0.6,5,52,1.429,1.286,0.286,0.143,1.0,7,37,-15,-0.8290000000000001,-0.4,1,2,0
2015-01-31,Australia,South Korea,1.0,2.0,0.1,0.1,0.4,10,100,1.2,0.7,0.6,0.0,1.8,10,100,0,-0.19999999999999996,-1.4,2,1,2
2015-02-08,United States,Panama,1.333,1.333,0.333,0.167,1.167,6,100,0.0,1.667,0.0,0.333,0.333,3,55,-45,1.333,0.8340000000000001,2,0,2
2015-03-25,Germany,Australia,2.3,0.9,0.8,0.1,2.5,10,1,0.9,1.7,0.2,0.1,0.7,10,65,64,1.4,1.8,2,2,1
2015-03-26,Qatar,Algeria,1.286,0.429,0.571,0.286,2.0,7,109,1.714,1.286,0.429,0.143,1.429,7,18,-91,-0.42799999999999994,0.571,1,0,2
2015-03-26,France,Brazil,1.778,0.556,0.667,0.222,2.222,9,8,1.9,1.3,0.7,0.1,2.2,10,6,-2,-0.12199999999999989,0.021999999999999797,1,3,0
2015-03-27,Japan,Tunisia,1.429,1.857,0.571,0.0,1.714,7,53,0.875,0.5,0.5,0.375,1.875,8,25,-28,0.554,-0.16100000000000003,2,0,2
2015-03-27,South Korea,Uzbekistan,1.1,0.5,0.6,0.0,1.8,10,100,1.375,1.0,0.625,0.125,2.0,8,72,-28,-0.2749999999999999,-0.19999999999999996,1,1,1
2015-03-28,Croatia,Norway,1.2,2.0,0.2,0.2,0.8,5,19,0.0,2.5,0.0,0.0,0.0,2,70,51,1.2,0.8,5,1,2
2015-03-28,Ghana,Senegal,1.5,1.25,0.375,0.125,1.25,8,24,1.0,0.875,0.375,0.375,1.5,8,36,12,0.5,-0.25,1,2,0
2015-03-28,Morocco,Uruguay,0.0,0.0,0.0,1.0,1.0,1,89,1.167,0.833,0.5,0.333,1.833,6,9,-80,-1.167,-0.833,0,1,0
2015-03-30,Saudi Arabia,Jordan,1.0,2.0,0.0,0.333,0.333,6,99,0.143,1.857,0.0,0.0,0.0,7,101,2,0.857,0.333,2,1,2
2015-03-31,Switzerland,United States,1.2,2.2,0.2,0.2,0.8,5,12,1.429,1.143,0.429,0.143,1.429,7,100,88,-0.2290000000000001,-0.629,1,1,1
2015-03-31,Sweden,Iran,0.333,1.333,0.0,0.333,0.333,3,45,1.167,1.167,0.5,0.167,1.667,6,100,55,-0.8340000000000001,-1.334,3,1,2
2015-03-31,Netherlands,Spain,1.889,1.111,0.556,0.222,1.889,9,5,1.0,1.75,0.25,0.0,0.75,4,11,6,0.889,1.139,2,0,2
2015-03-31,Austria,Bosnia and Herzegovina,1.0,1.333,0.0,0.667,0.667,3,23,1.2,1.2,0.4,0.2,1.4,5,30,7,-0.19999999999999996,-0.7329999999999999,1,1,1
2015-03-31,Japan,Uzbekistan,1.5,1.625,0.625,0.0,1.875,8,53,1.333,1.0,0.556,0.222,1.889,9,72,19,0.16700000000000004,-0.014000000000000012,5,1,2
2015-03-31,Argentina,Ecuador,1.1,0.8,0.6,0.1,1.9,10,2,1.5,1.833,0.167,0.5,1.0,6,29,27,-0.3999999999999999,0.8999999999999999,2,1,2
2015-03-31,South Korea,New Zealand,1.2,0.5,0.6,0.1,1.9,10,100,1.0,2.333,0.0,0.333,0.333,3,134,34,0.19999999999999996,1.567,1,0,2
2015-04-15,United States,Mexico,1.375,1.125,0.375,0.25,1.375,8,100,1.667,0.889,0.556,0.111,1.778,9,18,-82,-0.29200000000000004,-0.403,2,0,2
2015-06-03,Panama,Ecuador,0.0,1.75,0.0,0.25,0.25,4,53,1.429,1.857,0.143,0.429,0.857,7,34,-19,-1.429,-0.607,1,1,1
2015-06-05,Netherlands,United States,1.9,1.0,0.6,0.2,2.0,10,6,1.444,1.0,0.444,0.222,1.556,9,100,94,0.45599999999999996,0.44399999999999995,3,4,0
2015-06-05,Scotland,Qatar,1.0,2.5,0.0,0.0,0.0,2,28,1.25,0.375,0.625,0.25,2.125,8,97,69,-0.25,-2.125,1,0,2
2015-06-06,Ecuador,Panama,1.375,1.75,0.125,0.5,0.875,8,31,0.2,1.6,0.0,0.4,0.4,5,54,23,1.175,0.475,4,0,2
2015-06-07,France,Belgium,1.7,0.8,0.6,0.2,2.0,10,9,1.375,0.5,0.75,0.125,2.375,8,2,-7,0.32499999999999996,-0.375,3,4,0
2015-06-07,Brazil,Mexico,1.8,1.4,0.7,0.1,2.2,10,5,1.5,1.0,0.5,0.1,1.6,10,23,18,0.30000000000000004,0.6000000000000001,2,0,2
2015-06-08,Norway,Sweden,0.333,3.333,0.0,0.0,0.0,3,64,1.0,1.25,0.25,0.25,1.0,4,39,-25,-0.667,-1.0,0,0,1
2015-06-10,Germany,United States,2.1,1.1,0.7,0.2,2.3,10,1,1.7,1.2,0.5,0.2,1.7,10,100,99,0.40000000000000013,0.5999999999999999,1,2,0
2015-06-11,Japan,Iraq,1.889,1.556,0.667,0.0,2.0,9,52,0.571,1.143,0.143,0.286,0.714,7,86,34,1.318,1.286,4,0,2
2015-06-11,Uzbekistan,Iran,1.3,1.4,0.5,0.2,1.7,10,74,1.143,1.429,0.429,0.143,1.429,7,100,26,0.15700000000000003,0.2709999999999999,0,1,0
2015-06-13,Argentina,Paraguay,1.1,0.8,0.6,0.1,1.9,10,3,0.5,1.5,0.0,0.5,0.5,2,85,82,0.6000000000000001,1.4,2,2,1
2015-06-16,Argentina,Uruguay,1.2,1.0,0.5,0.2,1.7,10,3,1.143,0.714,0.571,0.286,2.0,7,8,5,0.05699999999999994,-0.30000000000000004,1,0,2
2015-06-17,Brazil,Colombia,1.7,1.3,0.7,0.1,2.2,10,5,1.875,1.0,0.5,0.25,1.75,8,4,-1,-0.17500000000000004,0.4500000000000002,0,1,0
