date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly
2023-09-09,Germany,Japan,1.0,4.0,Friendly,Wolfsburg,Germany,False,True
2023-09-09,Mexico,Australia,2.0,2.0,Friendly,Arlington,United States,True,True
2023-09-09,United States,Uzbekistan,3.0,0.0,Friendly,St. Louis,United States,False,True
2023-09-12,Ecuador,Uruguay,2.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False,False
2023-09-12,Egypt,Tunisia,1.0,3.0,Friendly,Cairo,Egypt,False,True
2023-09-12,Germany,France,2.0,1.0,Friendly,Dortmund,Germany,False,True
2023-09-12,South Korea,Saudi Arabia,1.0,0.0,Friendly,Newcastle,England,True,True
2023-09-12,Mexico,Uzbekistan,3.0,3.0,Friendly,Atlanta,United States,True,True
2023-09-12,Scotland,England,1.0,3.0,Friendly,Glasgow,Scotland,False,True
2023-09-12,Senegal,Algeria,0.0,1.0,Friendly,Diamniadio,Senegal,False,True
2023-09-12,Sweden,Austria,1.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False,False
2023-10-12,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2023-10-12,Argentina,Paraguay,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,False
2023-10-12,Spain,Scotland,2.0,0.0,UEFA Euro qualification,Seville,Spain,False,False
2023-10-13,Curaçao,Panama,1.0,2.0,CONCACAF Nations League,Willemstad,Curaçao,False,False
2023-10-13,England,Australia,1.0,0.0,Friendly,London,England,False,True
2023-10-13,Iraq,Qatar,0.0,0.0,Friendly,Amman,Jordan,True,True
2023-10-13,Japan,Canada,4.0,1.0,Friendly,Niigata,Japan,False,True
2023-10-13,South Korea,Tunisia,4.0,0.0,Friendly,Seoul,South Korea,False,True
2023-10-13,Netherlands,France,1.0,2.0,UEFA Euro qualification,Amsterdam,Netherlands,False,False
2023-10-13,Austria,Belgium,2.0,3.0,UEFA Euro qualification,Vienna,Austria,False,False
2023-10-14,Mexico,Ghana,2.0,0.0,Friendly,Charlotte,United States,True,True
2023-10-14,United States,Germany,1.0,3.0,Friendly,East Hartford,United States,False,True
2023-10-15,Norway,Spain,0.0,1.0,UEFA Euro qualification,Oslo,Norway,False,False
2023-10-16,Algeria,Egypt,1.0,1.0,Friendly,Al Ain,United Arab Emirates,True,True
2023-10-16,Belgium,Sweden,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False,False
2023-10-16,Bosnia and Herzegovina,Portugal,0.0,5.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,False
2023-10-17,Ecuador,Colombia,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False,False
2023-10-17,Uruguay,Brazil,2.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2023-10-17,Australia,New Zealand,2.0,0.0,Soccer Ashes,Brentford,England,True,False
2023-10-17,France,Scotland,4.0,1.0,Friendly,Lille,France,False,True
2023-10-17,Mexico,Germany,2.0,2.0,Friendly,Philadelphia,United States,True,True
2023-10-17,United States,Ghana,4.0,0.0,Friendly,Nashville,United States,False,True
2023-11-16,Colombia,Brazil,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2023-11-16,Argentina,Uruguay,0.0,2.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,False
2023-11-19,Scotland,Norway,3.0,3.0,UEFA Euro qualification,Glasgow,Scotland,False,False
2023-11-21,Paraguay,Colombia,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2023-11-21,Brazil,Argentina,0.0,1.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,False
2023-11-21,Uzbekistan,Iran,2.0,2.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,False
2023-11-21,Jordan,Saudi Arabia,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,False,False
2023-11-21,Austria,Germany,2.0,0.0,Friendly,Vienna,Austria,False,True
2023-12-16,Mexico,Colombia,2.0,3.0,Friendly,Los Angeles,United States,True,True
2024-01-05,Qatar,Jordan,1.0,2.0,Friendly,Al Rayyan,Qatar,False,True
2024-01-06,Iraq,South Korea,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,True
2024-01-09,Japan,Jordan,6.0,1.0,Friendly,Doha,Qatar,True,True
2024-01-18,Egypt,Ghana,2.0,2.0,African Cup of Nations,Abidjan,Ivory Coast,True,False
2024-01-19,Iraq,Japan,2.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True,False
2024-01-20,Jordan,South Korea,2.0,2.0,AFC Asian Cup,Doha,Qatar,True,False
2024-01-23,Australia,Uzbekistan,1.0,1.0,AFC Asian Cup,Al Wakrah,Qatar,True,False
2024-01-24,South Africa,Tunisia,0.0,0.0,African Cup of Nations,Korhogo,Ivory Coast,True,False
2024-01-29,Iraq,Jordan,2.0,3.0,AFC Asian Cup,Al Rayyan,Qatar,True,False
2024-01-30,Saudi Arabia,South Korea,1.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True,False
2024-01-30,Morocco,South Africa,0.0,2.0,African Cup of Nations,San-Pédro,Ivory Coast,True,False
2024-02-02,Australia,South Korea,1.0,2.0,AFC Asian Cup,Al Wakrah,Qatar,True,False
2024-02-03,Iran,Japan,2.0,1.0,AFC Asian Cup,Al Rayyan,Qatar,True,False
2024-02-03,Qatar,Uzbekistan,1.0,1.0,AFC Asian Cup,Al Khor,Qatar,False,False
2024-02-06,Jordan,South Korea,2.0,0.0,AFC Asian Cup,Al Rayyan,Qatar,True,False
2024-02-07,Qatar,Iran,3.0,2.0,AFC Asian Cup,Doha,Qatar,False,False
2024-02-10,Qatar,Jordan,3.0,1.0,AFC Asian Cup,Lusail,Qatar,False,False
2024-03-21,Panama,Mexico,0.0,3.0,CONCACAF Nations League,Arlington,United States,True,False
2024-03-21,Portugal,Sweden,5.0,2.0,Friendly,Guimarães,Portugal,False,True
2024-03-22,Egypt,New Zealand,1.0,0.0,FIFA Series,Cairo,Egypt,False,False
2024-03-22,Netherlands,Scotland,4.0,0.0,Friendly,Amsterdam,Netherlands,False,True
2024-03-22,Spain,Colombia,0.0,1.0,Friendly,London,England,True,True
2024-03-23,Tunisia,Croatia,0.0,0.0,FIFA Series,Cairo,Egypt,True,False
2024-03-23,England,Brazil,0.0,1.0,Friendly,London,England,False,True
2024-03-23,France,Germany,0.0,2.0,Friendly,Lyon,France,False,True
2024-03-24,United States,Mexico,2.0,0.0,CONCACAF Nations League,Arlington,United States,False,False
2024-03-26,Algeria,South Africa,3.0,3.0,FIFA Series,Algiers,Algeria,False,False
2024-03-26,Egypt,Croatia,2.0,4.0,FIFA Series,Cairo,Egypt,False,False
2024-03-26,New Zealand,Tunisia,0.0,0.0,FIFA Series,Cairo,Egypt,True,False
2024-03-26,England,Belgium,2.0,2.0,Friendly,London,England,False,True
2024-03-26,Germany,Netherlands,2.0,1.0,Friendly,Frankfurt,Germany,False,True
2024-03-26,Spain,Brazil,3.0,3.0,Friendly,Madrid,Spain,False,True
2024-06-03,England,Bosnia and Herzegovina,3.0,0.0,Friendly,Newcastle,England,False,True
2024-06-05,Mexico,Uruguay,0.0,4.0,Friendly,Denver,United States,True,True
2024-06-06,Netherlands,Canada,4.0,0.0,Friendly,Rotterdam,Netherlands,False,True
2024-06-08,Mexico,Brazil,2.0,3.0,Friendly,College Station,United States,True,True
2024-06-08,Portugal,Croatia,1.0,2.0,Friendly,Oeiras,Portugal,False,True
2024-06-08,Switzerland,Austria,1.0,1.0,Friendly,St. Gallen,Switzerland,False,True
2024-06-08,United States,Colombia,1.0,5.0,Friendly,Landover,United States,False,True
2024-06-09,Argentina,Ecuador,1.0,0.0,Friendly,Chicago,United States,True,True
2024-06-09,France,Canada,0.0,0.0,Friendly,Bordeaux,France,False,True
2024-06-11,Iran,Uzbekistan,0.0,0.0,FIFA World Cup qualification,Tehran,Iran,False,False
2024-06-11,Saudi Arabia,Jordan,1.0,2.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,False
2024-06-12,United States,Brazil,1.0,1.0,Friendly,Orlando,United States,False,True
2024-06-14,Germany,Scotland,5.0,1.0,UEFA Euro,Munich,Germany,False,False
2024-06-15,Spain,Croatia,3.0,0.0,UEFA Euro,Berlin,Germany,True,False
2024-06-16,Panama,Paraguay,0.0,1.0,Friendly,Panama City,Panama,False,True
2024-06-17,Austria,France,0.0,1.0,UEFA Euro,Düsseldorf,Germany,True,False
2024-06-19,Scotland,Switzerland,1.0,1.0,UEFA Euro,Cologne,Germany,True,False
2024-06-20,Argentina,Canada,2.0,0.0,Copa América,Atlanta,United States,True,False
2024-06-21,Netherlands,France,0.0,0.0,UEFA Euro,Leipzig,Germany,True,False
2024-06-23,Germany,Switzerland,1.0,1.0,UEFA Euro,Frankfurt,Germany,False,False
2024-06-23,Uruguay,Panama,3.0,1.0,Copa América,Miami Gardens,United States,True,False
2024-06-24,Colombia,Paraguay,2.0,1.0,Copa América,Houston,United States,True,False
2024-06-25,Netherlands,Austria,2.0,3.0,UEFA Euro,Berlin,Germany,True,False
2024-06-27,United States,Panama,1.0,2.0,Copa América,Atlanta,United States,False,False
2024-06-28,Paraguay,Brazil,1.0,4.0,Copa América,Las Vegas,United States,True,False
2024-06-30,Mexico,Ecuador,0.0,0.0,Copa América,Glendale,United States,True,False
2024-07-01,France,Belgium,1.0,0.0,UEFA Euro,Düsseldorf,Germany,True,False
2024-07-01,United States,Uruguay,0.0,1.0,Copa América,Kansas City,United States,False,False
2024-07-02,Brazil,Colombia,1.0,1.0,Copa América,Santa Clara,United States,True,False
2024-07-04,Argentina,Ecuador,1.0,1.0,Copa América,Houston,United States,True,False
2024-07-05,Germany,Spain,1.0,2.0,UEFA Euro,Stuttgart,Germany,False,False
2024-07-05,Portugal,France,0.0,0.0,UEFA Euro,Hamburg,Germany,True,False
2024-07-06,England,Switzerland,1.0,1.0,UEFA Euro,Düsseldorf,Germany,True,False
2024-07-06,Uruguay,Brazil,0.0,0.0,Copa América,Las Vegas,United States,True,False
2024-07-06,Colombia,Panama,5.0,0.0,Copa América,Glendale,United States,True,False
2024-07-09,Spain,France,2.0,1.0,UEFA Euro,Munich,Germany,True,False
2024-07-09,Argentina,Canada,2.0,0.0,Copa América,East Rutherford,United States,True,False
2024-07-10,Netherlands,England,1.0,2.0,UEFA Euro,Dortmund,Germany,True,False
2024-07-10,Uruguay,Colombia,0.0,1.0,Copa América,Charlotte,United States,True,False
2024-07-13,Canada,Uruguay,2.0,2.0,Copa América,Charlotte,United States,True,False
2024-07-14,Spain,England,2.0,1.0,UEFA Euro,Berlin,Germany,True,False
2024-07-14,Argentina,Colombia,1.0,0.0,Copa América,Miami Gardens,United States,True,False
2024-09-05,Portugal,Croatia,2.0,1.0,UEFA Nations League,Lisbon,Portugal,False,False
2024-09-06,Uruguay,Paraguay,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2024-09-06,Brazil,Ecuador,1.0,0.0,FIFA World Cup qualification,Curitiba,Brazil,False,False
2024-09-07,Mexico,New Zealand,3.0,0.0,Friendly,Pasadena,United States,True,True
2024-09-07,United States,Canada,1.0,2.0,Friendly,Kansas City,United States,False,True
2024-09-07,Netherlands,Bosnia and Herzegovina,5.0,2.0,UEFA Nations League,Eindhoven,Netherlands,False,False
2024-09-08,Portugal,Scotland,2.0,1.0,UEFA Nations League,Lisbon,Portugal,False,False
2024-09-08,Switzerland,Spain,1.0,4.0,UEFA Nations League,Geneva,Switzerland,False,False
2024-09-09,France,Belgium,2.0,0.0,UEFA Nations League,Décines-Charpieu,France,False,False
2024-09-09,Norway,Austria,2.0,1.0,UEFA Nations League,Oslo,Norway,False,False
2024-09-10,Mexico,Canada,0.0,0.0,Friendly,Arlington,United States,True,True
2024-09-10,United States,New Zealand,1.0,1.0,Friendly,Cincinnati,United States,False,True
2024-09-10,Netherlands,Germany,2.0,2.0,UEFA Nations League,Amsterdam,Netherlands,False,False
2024-09-10,Colombia,Argentina,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2024-09-10,Paraguay,Brazil,1.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2024-10-10,Ecuador,Paraguay,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False,False
2024-10-10,Uzbekistan,Iran,0.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,False
2024-10-10,Jordan,South Korea,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,False,False
2024-10-10,Saudi Arabia,Japan,0.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,False
2024-10-11,Bosnia and Herzegovina,Germany,1.0,2.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False,False
2024-10-12,United States,Panama,2.0,0.0,Friendly,Austin,United States,False,True
2024-10-12,Croatia,Scotland,2.0,1.0,UEFA Nations League,Zagreb,Croatia,False,False
2024-10-13,Austria,Norway,5.0,1.0,UEFA Nations League,Linz,Austria,False,False
2024-10-14,Belgium,France,1.0,2.0,UEFA Nations League,Leuven,Belgium,False,False
2024-10-14,Germany,Netherlands,1.0,0.0,UEFA Nations League,Munich,Germany,False,False
2024-10-15,Canada,Panama,2.0,1.0,Friendly,Toronto,Canada,False,True
2024-10-15,Mexico,United States,2.0,0.0,Friendly,Zapopan,Mexico,False,True
2024-10-15,Scotland,Portugal,0.0,0.0,UEFA Nations League,Glasgow,Scotland,False,False
2024-10-15,Uruguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2024-10-15,Iran,Qatar,4.0,1.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True,False
2024-10-15,South Korea,Iraq,3.0,2.0,FIFA World Cup qualification,Yongin,South Korea,False,False
2024-10-15,Japan,Australia,1.0,1.0,FIFA World Cup qualification,Saitama,Japan,False,False
2024-11-14,Paraguay,Argentina,2.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2024-11-14,Qatar,Uzbekistan,3.0,2.0,FIFA World Cup qualification,Al Rayyan,Qatar,False,False
2024-11-14,Iraq,Jordan,0.0,0.0,FIFA World Cup qualification,Basra,Iraq,False,False
2024-11-14,Australia,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Melbourne,Australia,False,False
2024-11-15,Scotland,Croatia,1.0,0.0,UEFA Nations League,Glasgow,Scotland,False,False
2024-11-15,Uruguay,Colombia,3.0,2.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2024-11-16,Germany,Bosnia and Herzegovina,7.0,0.0,UEFA Nations League,Freiburg,Germany,False,False
2024-11-18,Croatia,Portugal,1.0,1.0,UEFA Nations League,Split,Croatia,False,False
2024-11-18,Spain,Switzerland,3.0,2.0,UEFA Nations League,Santa Cruz de Tenerife,Spain,False,False
2024-11-19,Bosnia and Herzegovina,Netherlands,1.0,1.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False,False
2024-11-19,Colombia,Ecuador,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2024-11-19,Brazil,Uruguay,1.0,1.0,FIFA World Cup qualification,Salvador,Brazil,False,False
2024-12-28,Iraq,Saudi Arabia,1.0,3.0,Gulf Cup,Kuwait City,Kuwait,True,False
2025-01-22,Uzbekistan,Jordan,0.0,0.0,Friendly,Doha,Qatar,True,True
2025-03-20,Canada,Mexico,0.0,2.0,CONCACAF Nations League,Inglewood,United States,True,False
2025-03-20,United States,Panama,0.0,1.0,CONCACAF Nations League,Inglewood,United States,False,False
2025-03-20,Croatia,France,2.0,0.0,UEFA Nations League,Split,Croatia,False,False
2025-03-20,Netherlands,Spain,2.0,2.0,UEFA Nations League,Rotterdam,Netherlands,False,False
2025-03-20,Brazil,Colombia,2.0,1.0,FIFA World Cup qualification,Brasília,Brazil,False,False
2025-03-21,Uruguay,Argentina,0.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2025-03-23,United States,Canada,1.0,2.0,CONCACAF Nations League,Inglewood,United States,False,False
2025-03-23,Panama,Mexico,1.0,2.0,CONCACAF Nations League,Inglewood,United States,True,False
2025-03-23,France,Croatia,2.0,0.0,UEFA Nations League,Paris,France,False,False
2025-03-23,Spain,Netherlands,3.0,3.0,UEFA Nations League,Valencia,Spain,False,False
2025-03-25,Colombia,Paraguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2025-03-25,Argentina,Brazil,4.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,False
2025-03-25,Iran,Uzbekistan,2.0,2.0,FIFA World Cup qualification,Tehran,Iran,False,False
2025-03-25,South Korea,Jordan,1.0,1.0,FIFA World Cup qualification,Suwon,South Korea,False,False
2025-03-25,Japan,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Saitama,Japan,False,False
2025-05-30,Saudi Arabia,Jordan,2.0,0.0,Friendly,Dammam,Saudi Arabia,False,True
2025-06-04,Germany,Portugal,1.0,2.0,UEFA Nations League,Munich,Germany,False,False
2025-06-05,Spain,France,5.0,4.0,UEFA Nations League,Stuttgart,Germany,True,False
2025-06-05,Ecuador,Brazil,0.0,0.0,FIFA World Cup qualification,Guayaquil,Ecuador,False,False
2025-06-05,Paraguay,Uruguay,2.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2025-06-05,Qatar,Iran,1.0,0.0,FIFA World Cup qualification,Al Rayyan,Qatar,False,False
2025-06-05,Iraq,South Korea,0.0,2.0,FIFA World Cup qualification,Basra,Iraq,False,False
2025-06-05,Australia,Japan,1.0,0.0,FIFA World Cup qualification,Perth,Australia,False,False
2025-06-06,Morocco,Tunisia,2.0,0.0,Friendly,Fès,Morocco,False,True
2025-06-07,Mexico,Switzerland,2.0,4.0,Friendly,Salt Lake City,United States,True,True
2025-06-08,Germany,France,0.0,2.0,UEFA Nations League,Stuttgart,Germany,False,False
2025-06-08,Portugal,Spain,2.0,2.0,UEFA Nations League,Munich,Germany,True,False
2025-06-10,England,Senegal,1.0,3.0,Friendly,London,England,False,True
2025-06-10,Sweden,Algeria,4.0,3.0,Friendly,Solna,Sweden,False,True
2025-06-10,United States,Switzerland,0.0,4.0,Friendly,Nashville,United States,False,True
2025-06-10,Argentina,Colombia,1.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,False
2025-06-10,Brazil,Paraguay,1.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,False,False
2025-06-10,Uzbekistan,Qatar,3.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,False
2025-06-10,Jordan,Iraq,0.0,1.0,FIFA World Cup qualification,Amman,Jordan,False,False
2025-06-10,Saudi Arabia,Australia,1.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,False
2025-06-10,Haiti,Curaçao,1.0,5.0,FIFA World Cup qualification,Oranjestad,Aruba,True,False
2025-06-15,Haiti,Saudi Arabia,0.0,1.0,Gold Cup,San Diego,United States,True,False
2025-06-19,United States,Saudi Arabia,1.0,0.0,Gold Cup,Austin,United States,False,False
2025-06-21,Curaçao,Canada,1.0,1.0,Gold Cup,Houston,United States,True,False
2025-06-22,United States,Haiti,2.0,1.0,Gold Cup,Arlington,United States,False,False
2025-06-28,Mexico,Saudi Arabia,2.0,0.0,Gold Cup,Glendale,United States,True,False
2025-07-06,United States,Mexico,1.0,2.0,Gold Cup,Houston,United States,False,False
2025-09-04,Paraguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2025-09-05,Australia,New Zealand,1.0,0.0,Soccer Ashes,Canberra,Australia,False,False
2025-09-06,Mexico,Japan,0.0,0.0,Friendly,Oakland,United States,True,True
2025-09-06,United States,South Korea,0.0,2.0,Friendly,Harrison,United States,False,True
2025-09-09,Mexico,South Korea,2.0,2.0,Friendly,Nashville,United States,True,True
2025-09-09,New Zealand,Australia,1.0,3.0,Soccer Ashes,Auckland,New Zealand,False,False
2025-09-09,United States,Japan,2.0,0.0,Friendly,Columbus,United States,False,True
2025-09-09,Ecuador,Argentina,1.0,0.0,FIFA World Cup qualification,Guayaquil,Ecuador,False,False
2025-09-09,Bosnia and Herzegovina,Austria,1.0,2.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,False
2025-10-10,Canada,Australia,0.0,1.0,Friendly,Montreal,Canada,False,True
2025-10-10,Japan,Paraguay,2.0,2.0,Kirin Cup,Osaka,Japan,False,False
2025-10-10,South Korea,Brazil,0.0,5.0,Friendly,Seoul,South Korea,False,True
2025-10-10,United States,Ecuador,1.0,1.0,Friendly,Austin,United States,False,True
2025-10-10,Sweden,Switzerland,0.0,2.0,FIFA World Cup qualification,Solna,Sweden,False,False
2025-10-11,Mexico,Colombia,0.0,4.0,Friendly,Arlington,United States,True,True
2025-10-13,Uzbekistan,Uruguay,1.0,2.0,Friendly,Malacca City,Malaysia,True,True
2025-10-14,Japan,Brazil,3.0,2.0,Kirin Cup,Tokyo,Japan,False,False
2025-10-14,Canada,Colombia,0.0,0.0,Friendly,Harrison,United States,True,True
2025-10-14,South Korea,Paraguay,2.0,0.0,Friendly,Seoul,South Korea,False,True
2025-10-14,Mexico,Ecuador,1.0,1.0,Friendly,Zapopan,Mexico,False,True
2025-10-14,Norway,New Zealand,1.0,1.0,Friendly,Oslo,Norway,False,True
2025-10-14,United States,Australia,2.0,1.0,Friendly,Denver,United States,False,True
2025-10-14,Saudi Arabia,Iraq,0.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,False
2025-11-13,Canada,Ecuador,0.0,0.0,Friendly,Toronto,Canada,False,True
2025-11-14,Japan,Ghana,2.0,0.0,Kirin Cup,Toyota,Japan,False,False
2025-11-14,Tunisia,Jordan,3.0,2.0,Friendly,Radès,Tunisia,False,True
2025-11-14,Uzbekistan,Egypt,2.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True,False
2025-11-15,Brazil,Senegal,2.0,0.0,Friendly,London,England,True,True
2025-11-15,Colombia,New Zealand,2.0,1.0,Friendly,Fort Lauderdale,United States,True,True
2025-11-15,Mexico,Uruguay,0.0,0.0,Friendly,Torreón,Mexico,False,True
2025-11-15,United States,Paraguay,2.0,1.0,Friendly,Chester,United States,False,True
2025-11-15,Switzerland,Sweden,4.0,1.0,FIFA World Cup qualification,Geneva,Switzerland,False,False
2025-11-18,Saudi Arabia,Algeria,0.0,2.0,Friendly,Jeddah,Saudi Arabia,False,True
2025-11-18,Brazil,Tunisia,1.0,1.0,Friendly,Lille,France,True,True
2025-11-18,Colombia,Australia,3.0,0.0,Friendly,New York,United States,True,True
2025-11-18,Ecuador,New Zealand,2.0,0.0,Friendly,Harrison,United States,True,True
2025-11-18,South Korea,Ghana,1.0,0.0,Friendly,Seoul,South Korea,False,True
2025-11-18,Mexico,Paraguay,1.0,2.0,Friendly,San Antonio,United States,True,True
2025-11-18,United States,Uruguay,5.0,1.0,Friendly,Tampa,United States,False,True
2025-11-18,Austria,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Vienna,Austria,False,False
2025-11-18,Iran,Uzbekistan,0.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True,False
2025-12-07,Qatar,Tunisia,0.0,3.0,Arab Cup,Al Khor,Qatar,False,False
2025-12-08,Morocco,Saudi Arabia,1.0,0.0,Arab Cup,Lusail,Qatar,True,False
2025-12-09,Egypt,Jordan,0.0,3.0,Arab Cup,Al Khor,Qatar,True,False
2025-12-09,Algeria,Iraq,2.0,0.0,Arab Cup,Al Rayyan,Qatar,True,False
2025-12-12,Jordan,Iraq,1.0,0.0,Arab Cup,Al Rayyan,Qatar,True,False
2025-12-15,Saudi Arabia,Jordan,0.0,1.0,Arab Cup,Al Khor,Qatar,True,False
2025-12-18,Jordan,Morocco,2.0,3.0,Arab Cup,Lusail,Qatar,True,False
2025-12-26,Egypt,South Africa,1.0,0.0,African Cup of Nations,Agadir,Morocco,True,False
2026-01-14,Senegal,Egypt,1.0,0.0,African Cup of Nations,Tangier,Morocco,True,False
2026-01-18,Morocco,Senegal,3.0,0.0,African Cup of Nations,Rabat,Morocco,False,False
2026-01-22,Panama,Mexico,0.0,1.0,Friendly,Panama City,Panama,False,True
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True,True
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True,True
2026-03-27,Austria,Ghana,5.0,1.0,Friendly,Vienna,Austria,False,True
2026-03-27,England,Uruguay,1.0,1.0,Friendly,London,England,False,True
2026-03-27,Morocco,Ecuador,1.0,1.0,Friendly,Madrid,Spain,True,True
2026-03-27,Netherlands,Norway,2.0,1.0,Friendly,Amsterdam,Netherlands,False,True
2026-03-27,Saudi Arabia,Egypt,0.0,4.0,Friendly,Jeddah,Saudi Arabia,False,True
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False,True
2026-03-27,Switzerland,Germany,3.0,4.0,Friendly,Basel,Switzerland,False,True
2026-03-28,Haiti,Tunisia,0.0,1.0,Friendly,Toronto,Canada,True,True
2026-03-28,Mexico,Portugal,0.0,0.0,Friendly,Mexico City,Mexico,False,True
2026-03-28,Scotland,Japan,0.0,1.0,Friendly,Glasgow,Scotland,False,True
2026-03-28,United States,Belgium,2.0,5.0,Friendly,Atlanta,United States,False,True
2026-03-29,Colombia,France,1.0,3.0,Friendly,Landover,United States,True,True
2026-03-30,Germany,Ghana,2.0,1.0,Friendly,Stuttgart,Germany,False,True
2026-03-31,Algeria,Uruguay,0.0,0.0,Friendly,Turin,Italy,True,True
2026-03-31,Austria,South Korea,1.0,0.0,Friendly,Vienna,Austria,False,True
2026-03-31,Brazil,Croatia,3.0,1.0,Friendly,Orlando,United States,True,True
2026-03-31,Canada,Tunisia,0.0,0.0,Friendly,Toronto,Canada,False,True
2026-03-31,England,Japan,0.0,1.0,Friendly,London,England,False,True
2026-03-31,Mexico,Belgium,1.0,1.0,Friendly,Chicago,United States,True,True
2026-03-31,Morocco,Paraguay,2.0,1.0,Friendly,Lens,France,True,True
2026-03-31,Netherlands,Ecuador,1.0,1.0,Friendly,Eindhoven,Netherlands,False,True
2026-03-31,Norway,Switzerland,0.0,0.0,Friendly,Oslo,Norway,False,True
2026-03-31,South Africa,Panama,1.0,2.0,Friendly,Cape Town,South Africa,False,True
2026-03-31,Spain,Egypt,0.0,0.0,Friendly,Barcelona,Spain,False,True
2026-03-31,United States,Portugal,0.0,2.0,Friendly,Atlanta,United States,False,True
2026-03-31,Australia,Curaçao,5.0,1.0,FIFA Series,Melbourne,Australia,False,False
2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,False,False
2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False,False
2026-06-12,United States,Paraguay,,,FIFA World Cup,Inglewood,United States,False,False
2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,True,False
2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,True,False
2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,True,False
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True,False
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True,False
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True,False
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True,False
2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True,False
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True,False
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True,False
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True,False
